"old_lexeme_id","canonical_lexeme_id"
"de.adj.aengstlich","de.lex.aengstlich"
"de.adj.alt","de.lex.alt"
"de.adj.anders","de.lex.anders"
"de.adj.blau","de.lex.blau"
"de.adj.ganz","de.lex.ganz"
"de.adj.glaenzend","de.lex.glaenzend"
"de.adj.gross","de.lex.gross"
"de.adj.gruen","de.lex.gruen"
"de.adj.halb","de.lex.halb"
"de.adj.jung","de.lex.jung"
"de.adj.klein","de.lex.klein"
"de.adj.neu","de.lex.neu"
"de.adj.schoen","de.lex.schoen"
"de.adj.stark","de.lex.stark"
"de.adj.warm","de.lex.warm"
"de.adv.auch","de.lex.auch"
"de.adv.gerade","de.lex.gerade"
"de.adv.lang","de.lex.lang"
"de.adv.manchmal","de.lex.manchmal"
"de.adv.so","de.lex.so"
"de.adv.wenig","de.lex.wenig"
"de.adv.zurueck","de.lex.zurueck"
"de.article.def","de.lex.der-die-das"
"de.article.ein","de.lex.ein"
"de.conj.aber","de.lex.aber"
"de.conj.und","de.lex.und"
"de.det.dieser","de.lex.dieser"
"de.det.jeder","de.lex.jeder"
"de.det.possessive","de.lex.ihr.her"
"de.function.aber","de.lex.aber"
"de.function.alles","de.lex.alles"
"de.function.an","de.lex.an"
"de.function.an-dem","de.lex.an-dem"
"de.function.auch","de.lex.auch"
"de.function.auf","de.lex.auf.into"
"de.function.auf.into","de.lex.auf.into"
"de.function.aus","de.lex.aus.made-of"
"de.function.aus.made-of","de.lex.aus.made-of"
"de.function.da","de.lex.da"
"de.function.dann","de.lex.dann"
"de.function.dass","de.lex.dass"
"de.function.der-bestimmte-artikel","de.lex.der-bestimmte-artikel"
"de.function.der-die-das","de.lex.der-die-das"
"de.function.dieser","de.lex.dieser"
"de.function.du","de.lex.du"
"de.function.ein","de.lex.ein"
"de.function.einmal","de.lex.einmal"
"de.function.erst","de.lex.erst"
"de.function.es","de.lex.es"
"de.function.etwas","de.lex.etwas"
"de.function.fuer","de.lex.fuer"
"de.function.ich","de.lex.ich"
"de.function.ihr","de.lex.ihr.her"
"de.function.ihr.her","de.lex.ihr.her"
"de.function.in","de.lex.in"
"de.function.in-dem","de.lex.in-dem"
"de.function.jeder","de.lex.jeder"
"de.function.kein","de.lex.kein"
"de.function.mehr","de.lex.mehr"
"de.function.mein","de.lex.mein"
"de.function.nicht","de.lex.nicht"
"de.function.noch","de.lex.noch"
"de.function.nun","de.lex.nun"
"de.function.schon","de.lex.schon"
"de.function.sein-possessivartikel","de.lex.sein-possessivartikel"
"de.function.selbst","de.lex.selbst"
"de.function.sich","de.lex.sich"
"de.function.sie.her","de.lex.sie.her"
"de.function.so","de.lex.so"
"de.function.ueber","de.lex.ueber"
