chapter,sentence_id,paragraph,paragraph_sentence,scene
ch01,s001,1,1,1
ch01,s002,1,2,1
ch01,s003,1,3,1
ch01,s004,1,4,1
ch01,s005,1,5,1
ch01,s006,1,6,1
ch01,s007,1,7,1
ch01,s008,1,8,1
ch01,s009,1,9,1
ch01,s010,1,10,1
ch01,s011,1,11,1
ch01,s012,2,1,1
ch01,s013,2,2,1
ch01,s014,2,3,1
ch01,s015,2,4,1
ch01,s016,2,5,1
ch01,s017,2,6,1
ch01,s018,3,1,1
ch01,s019,3,2,1
ch01,s020,3,3,1
ch01,s021,3,4,1
ch01,s022,3,5,1
ch01,s023,3,6,1
ch01,s024,3,7,1
ch01,s025,3,8,1
ch01,s026,4,1,1
ch01,s027,4,2,1
ch01,s028,4,3,1
ch01,s029,4,4,1
ch01,s030,5,1,2
ch01,s031,5,2,2
ch01,s032,6,1,2
ch01,s033,7,1,2
ch01,s034,7,2,2
ch01,s035,7,3,2
ch01,s036,7,4,2
ch01,s037,8,1,2
ch01,s038,9,1,2
ch01,s039,9,2,2
ch01,s040,10,1,2
ch01,s041,10,2,2
ch01,s042,10,3,2
ch01,s043,10,4,2
ch01,s044,11,1,2
ch01,s045,12,1,2
ch01,s046,12,2,2
ch01,s047,12,3,2
ch01,s048,12,4,2
ch01,s049,13,1,2
ch01,s050,13,2,2
ch01,s051,13,3,2
ch01,s052,14,1,2
ch01,s053,14,2,2
ch01,s054,14,3,2
ch01,s055,14,4,2
ch01,s056,15,1,3
ch01,s057,16,1,3
ch01,s058,17,1,3
ch01,s059,18,1,3
ch01,s060,19,1,3
ch01,s061,19,2,3
ch01,s062,20,1,3
ch01,s063,20,2,3
ch01,s064,20,3,3
ch01,s065,20,4,3
ch01,s066,20,5,3
ch01,s067,20,6,3
ch01,s068,20,7,3
ch01,s069,20,8,3
ch01,s070,20,9,3
ch01,s071,21,1,3
ch01,s072,22,1,3
ch01,s073,22,2,3
ch01,s074,22,3,3
ch01,s075,22,4,3
ch01,s076,23,1,3
ch01,s077,23,2,3
ch01,s078,24,1,3
ch01,s079,24,2,3
ch01,s080,24,3,3
ch01,s081,24,4,3
ch01,s082,24,5,3
ch01,s083,25,1,4
ch01,s084,26,1,4
ch01,s085,26,2,4
ch01,s086,26,3,4
ch01,s087,27,1,4
ch01,s088,27,2,4
ch01,s089,27,3,4
ch01,s090,28,1,4
ch01,s091,29,1,4
ch01,s092,30,1,4
ch01,s093,31,1,4
ch01,s094,31,2,4
ch01,s095,31,3,4
ch01,s096,31,4,4
ch01,s097,31,5,4
ch01,s098,31,6,4
ch01,s099,31,7,4
ch01,s100,31,8,4
ch01,s101,31,9,4
ch01,s102,32,1,4
ch01,s103,33,1,4
ch01,s104,33,2,4
ch01,s105,33,3,4
ch01,s106,33,4,4
ch01,s107,33,5,4
ch01,s108,33,6,4
ch01,s109,34,1,5
ch01,s110,34,2,5
ch01,s111,35,1,5
ch01,s112,35,2,5
ch01,s113,35,3,5
ch01,s114,35,4,5
ch01,s115,35,5,5
ch01,s116,36,1,5
ch01,s117,37,1,5
ch01,s118,37,2,5
ch01,s119,37,3,5
ch01,s120,37,4,5
ch01,s121,37,5,5
ch01,s122,38,1,5
ch01,s123,39,1,5
ch01,s124,39,2,5
ch01,s125,39,3,5
ch01,s126,39,4,5
ch01,s127,40,1,5
ch01,s128,40,2,5
ch01,s129,41,1,5
ch01,s130,42,1,6
ch01,s131,42,2,6
ch01,s132,42,3,6
ch01,s133,42,4,6
ch01,s134,42,5,6
ch01,s135,42,6,6
ch01,s136,43,1,6
ch01,s137,43,2,6
ch01,s138,43,3,6
ch01,s139,44,1,6
ch01,s140,44,2,6
ch01,s141,44,3,6
ch01,s142,45,1,6
ch01,s143,45,2,6
ch01,s144,45,3,6
ch01,s145,46,1,6
ch01,s146,46,2,6
ch01,s147,46,3,6
ch01,s148,47,1,6
ch01,s149,47,2,6
ch01,s150,47,3,6
ch01,s151,48,1,6
ch01,s152,49,1,6
ch01,s153,50,1,6
ch01,s154,50,2,6
ch01,s155,51,1,6
ch01,s156,52,1,6
ch01,s157,52,2,6
ch01,s158,53,1,6
