"sentence_id","surface","occurrence","item_id"
"s002","Kaffeemaschine","1","w010"
"s006","sich ... in die Hose gemacht","1","w030"
"s014","Autobahn","1","w065"
"s023","die Klappe zu halten","1","w097"
"s024","stimmt ... zu","1","w103"
"s026","Tatjana Cosic","1","w106"
"s028","Kaffeemaschine","1","w010"
"s029","füllt ... ein","1","w114"
"s029","gießt ... aus","1","w113"
"s034","stellte ... vor","1","w133"
"s038","stellte ... vor","1","w133"
"s044","lächelt ... an","1","w158"
"s048","Sportlehrer","1","w170"
"s049","treibt ... an","1","w173"
"s068","Hosenbein","1","w217"
"s068","zieht ... hoch","1","w219"
"s070","Spiegelbild","1","w224"
